hidden_dim,dropout,lr,layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.3,0.0005,1,0.3947002321756762,0.0159890755307692,1.7091265712309451,0.0520484389903182,0.3861780941486358,"[0.3831451179553565, 0.3713066198373616, 0.39687139251766773, 0.41636028448549944, 0.4058177460824958]"
256,0.2,0.0005,2,0.3917614330760472,0.0114132408045695,1.7251835584691588,0.0641908137496579,0.3884754419326782,"[0.3865218950414828, 0.3748538405615951, 0.39411506517304856, 0.40992135391869367, 0.3933950106854162]"
256,0.2,0.001,2,0.3914568689097347,0.0114241505349369,1.719095837312819,0.0470999074380921,0.3939406037330627,"[0.38105299353881583, 0.3814178073543358, 0.3881244219392848, 0.4119988388478644, 0.394690282868373]"
256,0.3,0.0005,1,0.3903964138420616,0.0178956344076653,1.747452424807517,0.0734895766086652,0.383153885602951,"[0.4050007431885307, 0.3646577516917704, 0.3911763775958596, 0.41389419697421265, 0.37725299975993426]"
128,0.2,0.001,2,0.3894487168716681,0.0145551856743167,1.7348109190126544,0.0652089751906488,0.3903607070446014,"[0.3934340030973214, 0.3711558876159668, 0.3844401445302279, 0.4148724824097226, 0.3833410667051021]"
128,0.2,0.0005,1,0.3891787025174995,0.0169348632745612,1.7284462323203769,0.0540596103133994,0.3868027746677399,"[0.3791653894467815, 0.3624273968008975, 0.3928219824647947, 0.4110433394333053, 0.4004354044417186]"
128,0.2,0.0005,2,0.3883173714566797,0.0179261886963082,1.752481638896048,0.076861700297535,0.3894430041313171,"[0.38862479389966736, 0.35803497383177535, 0.3946808768600083, 0.4137315253914801, 0.38651468730046795]"
128,0.2,0.001,1,0.3867849148693127,0.0120983571541247,1.7273566053684142,0.0594425634366086,0.3915319085121155,"[0.3808544251448711, 0.3696860670811201, 0.40332483234398814, 0.3974351893098847, 0.38262406046669967]"
256,0.2,0.0005,1,0.3861899382814217,0.0157498417037215,1.7519934637316965,0.0709380969759087,0.390371161699295,"[0.38443885270773953, 0.3689462839273501, 0.3784846957452522, 0.41572730666294483, 0.3833525523638222]"
256,0.3,0.0005,2,0.3858548984667515,0.0172113509544961,1.7422014416895473,0.0601890669915651,0.3873958647251129,"[0.3895514761303134, 0.3550320209929742, 0.3844444302611485, 0.40748112051496205, 0.39276544443435907]"
128,0.3,0.001,2,0.3857766515606316,0.0240698839891861,1.744235505201908,0.0718590324475588,0.3943227767944336,"[0.38205910338484067, 0.3555972063780057, 0.3680585493432198, 0.42435501193929986, 0.3988133867577921]"
128,0.3,0.001,1,0.3856178565110951,0.0179672089793667,1.7475842415463383,0.0570172903119469,0.3872485816478729,"[0.3819806832147845, 0.3578734307586939, 0.3810550823148193, 0.4126537871246116, 0.3945262991425664]"
256,0.3,0.001,1,0.3854146893926473,0.0142617371110193,1.7538862670639546,0.075173063005281,0.3870823562145233,"[0.39979348772002393, 0.36672030224842317, 0.38618625962327835, 0.40225123353737163, 0.3721221638341396]"
256,0.2,0.001,1,0.3831368340289451,0.0101197453005672,1.7461527455103816,0.0703103931858266,0.3886296153068542,"[0.38856050112856294, 0.36915511827273284, 0.37645519661507687, 0.39870568298168707, 0.3828076711466661]"
256,0.3,0.001,2,0.3830292215233543,0.0157380186094432,1.7534512565217546,0.0612230580760265,0.3926491022109985,"[0.38576449268466834, 0.3573128928259179, 0.37483376145994957, 0.39574853554430683, 0.40148642510192856]"
128,0.3,0.0005,2,0.382642139027345,0.0111802664395436,1.747264259320379,0.0593016354393356,0.3887966036796569,"[0.38140492755636624, 0.363720959720401, 0.3842803553818958, 0.39865751626041807, 0.3851469362176438]"
