hidden_dim,dropout,lr,layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.2,0.0005,1,0.4010221871223879,0.0169198929545687,1.7130131855890902,0.0623899424351338,0.3561540603637695,"[0.3679825361223359, 0.40330286320093794, 0.40812049040908943, 0.41431783275939743, 0.4113872131201792]"
256,0.2,0.001,1,0.4008274084599718,0.0129754785640943,1.7236532401650475,0.0512868941061124,0.3467630505561828,"[0.37752163743363715, 0.41156055152931703, 0.4135788865347408, 0.397510003399304, 0.4039659634028596]"
128,0.3,0.0005,1,0.4004307567111526,0.0152521477081122,1.714220174638872,0.0459482449745663,0.3562109649181366,"[0.3708086473643082, 0.4072654449767858, 0.4144404436244254, 0.4033770416074886, 0.40626220598275514]"
256,0.3,0.001,1,0.3994428476724206,0.016274482628168,1.7362390288137353,0.0326008796980082,0.350651878118515,"[0.37350765993893137, 0.41894528852882357, 0.4142398897469484, 0.392312684579035, 0.3982087155683647]"
128,0.3,0.0005,2,0.3987745689488877,0.0084422845679216,1.7162769104914135,0.061262419405967,0.3507467448711395,"[0.38384455751461366, 0.4042436291428058, 0.40302385744529845, 0.39538424255973753, 0.40737655808198325]"
128,0.3,0.001,1,0.397621369731797,0.0197390359556656,1.7147373189841424,0.0390780732933253,0.3509225368499756,"[0.3607094459768243, 0.41294915548857336, 0.4146707068507214, 0.40487647831719986, 0.3949010620256664]"
256,0.2,0.0005,2,0.3971948755355178,0.0180943033751644,1.7420537404829972,0.0466252593157197,0.3478978991508484,"[0.3675567024108946, 0.4244872930844699, 0.3954006422678775, 0.4002478970424767, 0.39828184287187035]"
256,0.3,0.0005,2,0.3970294448029521,0.0104344863843241,1.736871301754076,0.0618154868940904,0.3483482420444488,"[0.3766305124574978, 0.4058512035165715, 0.40165985028750884, 0.4020653931296789, 0.3989402646235034]"
256,0.2,0.001,2,0.3961930527226627,0.0148648867449553,1.7308431191057092,0.0507634672276477,0.3468557894229889,"[0.37310238862380324, 0.41864102887220955, 0.39802053208622795, 0.4012438981849737, 0.3899574158460992]"
128,0.3,0.001,2,0.3961531652373397,0.0156739891680798,1.7372130757905015,0.034184564823107,0.3547071993350982,"[0.3682793339117647, 0.4168587053580723, 0.4000160355479749, 0.3967299697715414, 0.39888178159734505]"
128,0.2,0.001,1,0.3960553393719642,0.0186626934285155,1.7224519491015624,0.0477462908806573,0.3550350189208984,"[0.3620271202385485, 0.3989754440082911, 0.41566847492993614, 0.39391956921322874, 0.4096860884698163]"
128,0.2,0.0005,2,0.3959622079006132,0.0177777064042465,1.7239139540861133,0.0556887121247498,0.3535641431808471,"[0.36411542458296803, 0.3978143352840733, 0.40801720737454783, 0.41625342279889593, 0.3936106494625813]"
256,0.3,0.001,2,0.3955575156287312,0.0169420693567269,1.723903162808296,0.0413895984980409,0.3493323147296905,"[0.3699022919914639, 0.42139094974802016, 0.39458549460333076, 0.40331485090496777, 0.3885939908958738]"
128,0.2,0.001,2,0.3933834969339626,0.0169373547384523,1.7193668015816528,0.0338078899137461,0.3562584400177002,"[0.3672166189055144, 0.4158411275493641, 0.40032668486062756, 0.401561479583104, 0.3819715737712033]"
256,0.3,0.0005,1,0.3927205563721367,0.0137158245277662,1.7493531051571618,0.0473181888443321,0.3526683390140533,"[0.37058157514704826, 0.4131480778164876, 0.3903574880055891, 0.39786556145989577, 0.391650079431663]"
256,0.2,0.0005,1,0.3909793345282973,0.0142141371249569,1.754544882936002,0.0573307143359102,0.349652361869812,"[0.3686880253200706, 0.41300262116322267, 0.3917816742435271, 0.3944198945410331, 0.3870044573736329]"
