hidden_dim,dropout,lr,layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.3,0.0005,1,0.3623267331927583,0.0193281327720065,1.7825708688579158,0.0207085905859774,0.4391511559486389,"[0.33073010899127553, 0.3840763506152249, 0.3787925380307992, 0.3518248349289515, 0.3662098333975404]"
128,0.2,0.0005,1,0.3621532076534217,0.0189322856912605,1.7783643525640316,0.0244158610604555,0.4440207600593567,"[0.3361014044091828, 0.38726982873846527, 0.37978915682682923, 0.3497946083466832, 0.357811039945948]"
256,0.2,0.0005,2,0.3617140137733632,0.0205504132275577,1.793694943591154,0.0303051716663573,0.426465368270874,"[0.3284986293168573, 0.3774043770949811, 0.3723896243216021, 0.34746497752607003, 0.3828124606073058]"
128,0.3,0.0005,2,0.3616482368844284,0.0235931011025702,1.787370902321339,0.0176457938736377,0.4445932984352111,"[0.3200077259386136, 0.37874991187095947, 0.3840286734825819, 0.3514677879740739, 0.3739870851559133]"
256,0.3,0.001,1,0.3613533674794184,0.0132200418551097,1.780949748176473,0.0438389525103701,0.4382207036018372,"[0.3404367009927462, 0.3785689943515136, 0.3653697650817867, 0.353328617470531, 0.3690627595005145]"
128,0.2,0.0005,2,0.3596561203615113,0.011921703529316,1.787073548033966,0.044200259687038,0.4285461246967316,"[0.34282818112793123, 0.3797771673157799, 0.3594280061023161, 0.35513616005401266, 0.3611110872075165]"
256,0.2,0.001,1,0.3591356617770855,0.0183329582125563,1.786215907542979,0.0351395559035854,0.4345680475234985,"[0.3304114498433431, 0.378469942620856, 0.3653598713825839, 0.3459225714568772, 0.3755144735817675]"
256,0.2,0.0005,1,0.3588130554296106,0.0217753782544448,1.7894357073516418,0.0387847856049998,0.4264572978019714,"[0.32164710183203415, 0.38661871282621624, 0.3668576557612578, 0.35078782561960414, 0.36815398110894076]"
128,0.3,0.001,1,0.3583620292979073,0.0115059828258037,1.784485032328336,0.0526280386916205,0.4347291231155396,"[0.34436280582090717, 0.3757720451210423, 0.3572276316252862, 0.34830829915084677, 0.3661393647714541]"
128,0.2,0.001,2,0.3571148955731532,0.0219813224369977,1.7950530086587038,0.034033547526133,0.4372305452823639,"[0.32660740169947905, 0.3900748742707883, 0.3504239312321358, 0.3460988023691249, 0.372369468294238]"
128,0.3,0.001,2,0.3566960950918619,0.0213521656452076,1.7995988458673338,0.0239097844520587,0.4520836591720581,"[0.3228855997166647, 0.3829700234999685, 0.3660564572036089, 0.3424270555354955, 0.36914133950357203]"
256,0.3,0.0005,1,0.3563827917921536,0.0214589251968266,1.8003811670602017,0.0342525677339552,0.4285299956798553,"[0.3247427070857804, 0.3879735999540383, 0.36011703603484096, 0.3426529373562696, 0.3664276785298388]"
256,0.3,0.0005,2,0.3498341168061497,0.0160702475368271,1.8055585287580969,0.0680692578864157,0.4283416986465454,"[0.33450265883170655, 0.37339583126336073, 0.3300619991192577, 0.35094069483592044, 0.3602693999805034]"
128,0.2,0.001,1,0.3494061817815566,0.014183631999752,1.8055163636805955,0.0490773449514231,0.4395193576812744,"[0.3252011685204171, 0.3644916000443507, 0.34214749492416613, 0.3559202138741622, 0.3592704315446869]"
256,0.2,0.001,2,0.346432555357904,0.0122054641993605,1.827261970603817,0.0478889525646279,0.4369388043880463,"[0.3280585642462162, 0.36259256118760397, 0.3455470805339882, 0.33959986178510165, 0.35636470903661016]"
256,0.3,0.001,2,0.3415049482693333,0.0165386923153162,1.8235590011339493,0.0724346449514592,0.4362419128417968,"[0.33197232408612976, 0.36595926696363495, 0.32205166750282566, 0.33172791528961737, 0.3558135675044591]"
