hidden_dim,dropout,lr,layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
256,0.2,0.0005,2,0.3622161495235759,0.0158656771668888,1.786789249026167,0.0474461967980841,0.440524011850357,"[0.35398650032287393, 0.34085079788469813, 0.35707691530991, 0.38682025235245693, 0.37234628174794077]"
256,0.3,0.0005,1,0.3621912360845363,0.0166449142737372,1.7917246858754723,0.0345907996930179,0.4424397647380829,"[0.34357048739724577, 0.34478057101127924, 0.36090405837096845, 0.38517527774821714, 0.3765257858949708]"
128,0.2,0.0005,1,0.3609678415918433,0.0186848756406713,1.787674328531685,0.0422454573013693,0.4472379922866821,"[0.3506415512431205, 0.33796655392254915, 0.35064539356980357, 0.37775717879285425, 0.38782853043088944]"
128,0.3,0.0005,1,0.3608477281346701,0.0196630139920054,1.7900537465893644,0.0459041586605052,0.4522738337516784,"[0.3568268116964366, 0.3334704841499731, 0.3476658174206027, 0.38327042433143726, 0.3830051030749009]"
256,0.3,0.001,1,0.358603636381513,0.0175968918052163,1.7943077175133808,0.0460700154684601,0.4419977962970733,"[0.3452633864593542, 0.3436400953740589, 0.3445464482917813, 0.38486115109430674, 0.37470710068806384]"
128,0.3,0.0005,2,0.3584419776543869,0.0200035051572143,1.804032048398474,0.0462111739944486,0.4482363939285278,"[0.3486872843652169, 0.3343499112507196, 0.34533733844757347, 0.38697588281627987, 0.376859471392145]"
128,0.3,0.001,1,0.3584071176164647,0.0221624844263573,1.7982405528215168,0.0517787783195483,0.441595458984375,"[0.35176633723520734, 0.3259507261871353, 0.3500781008070226, 0.39118572532985185, 0.3730546985231065]"
256,0.2,0.001,1,0.357778068865294,0.0236887154773098,1.796643753923016,0.0377027692740236,0.4490671038627624,"[0.33937010923585964, 0.3356740656313548, 0.3418082529051243, 0.3940253799747498, 0.37801253657938166]"
128,0.2,0.001,1,0.3577168082841297,0.0193503105707607,1.794656134756734,0.0368753569188083,0.4480872690677643,"[0.33603417128246243, 0.3507026726375299, 0.3424702393089676, 0.38848823044683184, 0.37088872774485687]"
128,0.3,0.001,2,0.3576551227471687,0.021008096878924,1.7959661952371089,0.0392682810900271,0.4536948859691619,"[0.34279510635176913, 0.3339872064538382, 0.34575941906006974, 0.38540967612965843, 0.38032420574050824]"
128,0.2,0.001,2,0.3570321776311003,0.0188299425264433,1.7954836531432516,0.0494083153005494,0.4502026915550232,"[0.3388508739398117, 0.3477410010530309, 0.3435460044349467, 0.39045880905045943, 0.3645641996772529]"
128,0.2,0.0005,2,0.3558072374060848,0.0192484630276946,1.7992017646590512,0.0477710179021218,0.444860053062439,"[0.35449435301578497, 0.33418895572426455, 0.33517213913141336, 0.37551360515215465, 0.3796671340068065]"
256,0.2,0.001,2,0.3547085843312033,0.0177768644632604,1.8117244389024136,0.0319049455165087,0.4480462133884429,"[0.3352134865717435, 0.3437428588860798, 0.3461563560625252, 0.3852972776931159, 0.3631329424425524]"
256,0.3,0.0005,2,0.354587031860349,0.0218537751944861,1.8123259677738432,0.0367838315507542,0.4413416981697082,"[0.335492325139745, 0.3344157158396812, 0.3446483615335479, 0.3915813023506905, 0.3667974544380808]"
256,0.2,0.0005,1,0.3542742634654724,0.023370001660403,1.8107250689579844,0.0432731134170388,0.4414553821086883,"[0.3290656815848759, 0.33872611264345903, 0.34596270727617795, 0.3958471408447137, 0.36176967497813584]"
256,0.3,0.001,2,0.3463291419905952,0.015138834475382,1.8389302924542608,0.0642199254009312,0.4541024923324585,"[0.3321241050562584, 0.34943487010999413, 0.3369124832829508, 0.3744108038515028, 0.3387634476522699]"
