hidden_dim,dropout,lr,layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.3,0.001,1,0.3687852674207104,0.0198474884026624,1.7752615946310073,0.0350877296541267,0.4227660953998565,"[0.35119321265541137, 0.3526330720190911, 0.35772890693288795, 0.40287851308736683, 0.37949263240879466]"
128,0.3,0.0005,1,0.3664239673836255,0.0198316933323673,1.7885931169654032,0.067739304129664,0.4228365540504455,"[0.36061827984333794, 0.3466508881997563, 0.34569890546508414, 0.3940619250008392, 0.3850898384091101]"
256,0.2,0.0005,2,0.3654750356042417,0.0177237296070049,1.793079063650449,0.032559069346612,0.4194439709186554,"[0.34840384858267326, 0.344815567105839, 0.3630534114869662, 0.3900482215394867, 0.3810541293062437]"
256,0.2,0.001,2,0.3630232927362457,0.0187668077836263,1.7996697862933004,0.0474814067061844,0.4186634242534637,"[0.34745285631789385, 0.3486731892653299, 0.35611278051068335, 0.3985645747315989, 0.36431306285572246]"
256,0.2,0.0005,1,0.3628128763574286,0.0182535169116388,1.79588009762232,0.0584183346782187,0.4179471552371979,"[0.3565733995573668, 0.34612355668283784, 0.34946760474636424, 0.39695755941820243, 0.3649422613823721]"
128,0.2,0.0005,1,0.361069025508972,0.0220766666350293,1.7952007773533167,0.0525341527130484,0.4214114844799042,"[0.3623532841628281, 0.3248611138439181, 0.352955913532177, 0.3907215860460426, 0.3744532299598944]"
128,0.2,0.001,1,0.3608130863919331,0.021281176231744,1.808231828321098,0.0204754111618723,0.4218691289424896,"[0.34183367441156687, 0.3379577055421179, 0.3547649484582134, 0.3947267204042917, 0.3747823831434758]"
128,0.3,0.0005,2,0.3606147734259792,0.0159361694988017,1.8104364891600373,0.0623612712964149,0.4253197908401489,"[0.3581365451065497, 0.3538728814678715, 0.33638930061860134, 0.3833390442686735, 0.37133609566820014]"
256,0.3,0.0005,1,0.3604460114336946,0.022813115122269,1.8003360509525894,0.050348077088418,0.4171071350574493,"[0.3441417388452714, 0.33782879406327654, 0.3619878809921182, 0.40284054594485347, 0.35543109732295325]"
256,0.3,0.001,1,0.3600663499490907,0.0174907612082036,1.8037158690128696,0.0401209449508437,0.4186760306358337,"[0.34624035867256636, 0.3507952708377851, 0.3459482603774466, 0.3921037135642367, 0.3652441462934191]"
128,0.3,0.001,2,0.359317614910893,0.0150845763705082,1.8030920987986083,0.0736530893610357,0.4198303818702698,"[0.35509941697516817, 0.3376081319119299, 0.3607136001905877, 0.3847321614330424, 0.3584347640437371]"
256,0.3,0.001,2,0.3591211150962988,0.0241457195579104,1.801131975380155,0.0563266906128942,0.4236991882324218,"[0.33705138833375287, 0.3498103159327906, 0.3494883692730142, 0.40615585891821077, 0.3530996430237254]"
256,0.3,0.0005,2,0.3590192502625466,0.0145240061981145,1.8056739348559705,0.0440105178089672,0.419968968629837,"[0.34581069864851927, 0.34852184801671887, 0.34824487540477417, 0.3817155489099196, 0.37080328033280124]"
256,0.2,0.001,1,0.3579849973064822,0.0199621278210836,1.8045842953497155,0.0448665084840158,0.4203390538692474,"[0.3364759196142774, 0.3483520900493204, 0.3451670455255114, 0.39234360662704476, 0.3675863247162569]"
128,0.2,0.001,2,0.3569663429559802,0.0114612960852501,1.825705631971107,0.046364243209744,0.419400417804718,"[0.3537908476558848, 0.34389365633242813, 0.3501221259391367, 0.37752239488959266, 0.35950268996285845]"
128,0.2,0.0005,2,0.3558145015623132,0.0157428459042327,1.8166960255597504,0.0676738868535997,0.4183134496212005,"[0.34539330958451236, 0.34535448374007366, 0.3513065194963805, 0.38692845330151576, 0.350089741689084]"
