hidden_dim,dropout,lr,nhead,num_layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.2,0.0005,4,2,0.3286086905524182,0.0170982370012739,1.8319992957998044,0.0417631906993767,0.4462770879268646,"[0.29893687636723354, 0.35183020543908744, 0.3334100807511466, 0.3324063953134961, 0.32645989489112764]"
128,0.3,0.001,8,2,0.3281758300111291,0.026040859937175,1.8424314573762184,0.04892796235577,0.4540334224700927,"[0.29674184784542007, 0.3490531177284569, 0.35795412292422785, 0.3397215179815636, 0.29740854357597696]"
128,0.3,0.001,4,2,0.3267122211655485,0.0206767964780683,1.8504116549817229,0.0474604649595639,0.4527642071247101,"[0.2929620794111741, 0.34417540409654085, 0.3417727838785292, 0.3425904472835175, 0.3120603911579809]"
128,0.3,0.0005,8,2,0.3250538762358004,0.0164886904745627,1.842754191782184,0.0558721820054612,0.4531647384166717,"[0.2946494827600379, 0.3280018677720807, 0.3295517326337334, 0.3449737844161453, 0.328092513597005]"
256,0.2,0.0005,4,2,0.3238230162967475,0.0192614598392954,1.858583745421877,0.0436222630845263,0.4533431708812713,"[0.2905624098891595, 0.3443276666485366, 0.31638456741168886, 0.3397969965314383, 0.32804344100291427]"
256,0.3,0.0005,4,2,0.3231359358619824,0.0166773583012534,1.8544339790632645,0.0320209740083951,0.4611049294471741,"[0.29700270245870003, 0.34454302981617263, 0.33191787584532373, 0.33016658434756, 0.312049486842156]"
128,0.2,0.001,4,2,0.3216082166501336,0.0220172713502248,1.871359884682969,0.0425105643761409,0.4529413998126984,"[0.28810897992352663, 0.34761649637276265, 0.33921461826242855, 0.32804016852773504, 0.3050608201642155]"
256,0.2,0.001,8,2,0.3206179411477041,0.0190242215940261,1.856098818863347,0.0666649779642,0.4530978083610534,"[0.29622824944208737, 0.3022589764710575, 0.3420290320957617, 0.3410748729718693, 0.32149857475774474]"
128,0.2,0.0005,8,2,0.3172836496930383,0.0221898377592247,1.858414707631812,0.0575737085520354,0.4681044280529022,"[0.2933608002641452, 0.34785242788908816, 0.2902219020038074, 0.3301795467453536, 0.3248035715627973]"
128,0.2,0.001,8,2,0.3119909394322428,0.0414099867193215,1.880292607987028,0.065882857058312,0.4747766613960266,"[0.2918848859310521, 0.3498925964396924, 0.34841967506642696, 0.3292406552573395, 0.2405168844667032]"
256,0.2,0.0005,8,2,0.3113518505566162,0.028070926597626,1.868613066606764,0.0450634841782083,0.4719394087791443,"[0.2664867256534914, 0.34879716640989283, 0.29997745684754656, 0.33120996592615576, 0.31028793794599446]"
256,0.3,0.0005,8,2,0.3109674700727394,0.0429576846692661,1.874960294396401,0.0869595493075659,0.4790863156318664,"[0.3106344056628752, 0.3529088027040254, 0.31102210328054936, 0.3475804506956905, 0.23269158802055664]"
128,0.3,0.0005,4,2,0.3043965574373425,0.0308161439453202,1.8883437023060867,0.0664956761464157,0.493973958492279,"[0.2984792280685265, 0.33438090224954814, 0.29130667923462966, 0.3412311753419754, 0.25658480229203295]"
128,0.2,0.0005,4,4,0.2476729591443728,0.0273853815731788,2.017266816058611,0.0451180122940882,0.5565765857696533,"[0.22335280978952166, 0.27745516928354186, 0.2844740803114924, 0.2230819519866988, 0.23000078435060947]"
128,0.3,0.0005,8,4,0.2447577667360277,0.0284795478410778,2.0131932624347515,0.0728757639977068,0.5706804275512696,"[0.23489811171388267, 0.3008294709707043, 0.22127454266123148, 0.23190794947373541, 0.2348787588605847]"
256,0.3,0.001,8,2,0.2387729851791261,0.1237270021872185,2.082237288447821,0.401875588669927,0.6034618020057678,"[0.2872922418302429, 0.0, 0.33633798470664056, 0.24412546475574326, 0.3261092346030039]"
128,0.2,0.0005,8,4,0.2375255837182977,0.0344215139268866,2.044980796966327,0.0306386877112288,0.5854458928108215,"[0.18767077503120255, 0.2931002845344203, 0.2483930731250136, 0.23610505983166177, 0.2223587260691905]"
128,0.3,0.0005,4,4,0.2216306421438366,0.1131823198231257,2.072520809776083,0.2604819786174202,0.6022074103355408,"[0.23408793274942774, 0.30124770874827683, 0.0, 0.29112944128008006, 0.2816881279413985]"
256,0.3,0.0005,4,4,0.193333663336306,0.1047367873011998,2.143110032828154,0.2443133624928883,0.6426453113555908,"[0.1706382812960483, 0.24877015698979266, 0.0, 0.25140609318914486, 0.29585378520654454]"
256,0.2,0.001,4,2,0.1929487983188034,0.159486252089719,2.199252062881456,0.4684430189286479,0.6888689041137696,"[0.27731064557247037, 0.0, 0.3521434200838844, 0.3352899259376623, 0.0]"
256,0.3,0.001,4,2,0.1892813483938204,0.1566681799397741,2.212752859521028,0.4725050988190047,0.69640251994133,"[0.26987425251498204, 0.0, 0.34779306117083103, 0.0, 0.3287394282832889]"
256,0.2,0.0005,4,4,0.1888037585773486,0.1022975684890712,2.1375580035769746,0.2905409412351243,0.632052230834961,"[0.23780891251344083, 0.0, 0.17003227651962502, 0.294079122164792, 0.2420984816888856]"
256,0.3,0.0005,8,4,0.1755474883694587,0.1461607861294628,2.1701488161444744,0.341224718310552,0.6521328866481781,"[0.29375185234566675, 0.24677252692350315, 0.0, 0.33721306257812395, 0.0]"
128,0.2,0.001,8,4,0.1417892894685987,0.118855519735171,2.255399211474913,0.2806296264131223,0.700141191482544,"[0.21110201652651897, 0.2854296521067104, 0.0, 0.21241477870976458, 0.0]"
128,0.2,0.001,4,4,0.1132578487258154,0.1389424745488496,2.3490091012220304,0.2991898542397114,0.7643741488456726,"[0.0, 0.29579381020334455, 0.0, 0.0, 0.27049543342573257]"
256,0.2,0.001,4,4,0.0716616718918308,0.1086440803456079,2.4894164579918887,0.2970252286660204,0.8688138961791992,"[0.0, 0.07790642214151654, 0.0, 0.0, 0.2804019373176378]"
128,0.3,0.001,8,4,0.0642916115669393,0.1285722640417048,2.4789626437146723,0.2814832175396702,0.8501831471920014,"[0.0, 0.3214361390898493, 0.0, 2.1918744847620976e-05, 0.0]"
256,0.3,0.001,8,4,0.0571017523678891,0.1141771015516185,2.480549388831844,0.2581235016049245,0.8288940787315369,"[0.0, 5.281003223229336e-05, 0.2854559518072135, 0.0, 0.0]"
256,0.2,0.0005,8,4,0.0482281652764891,0.0950422911356981,2.450150120723113,0.288357514966409,0.801933479309082,"[0.23830001031338108, 0.0, 0.0, 0.0028408160690647313, 0.0]"
128,0.3,0.001,4,4,0.0443693157330337,0.0887386310003484,2.461839905890233,0.2849732278406625,0.8099067211151123,"[0.2218465777337307, 0.0, 0.0, 9.314381479297217e-10, 0.0]"
256,0.2,0.001,8,4,0.0,0.0,2.635804142439389,0.1420202628692203,0.9454893469810486,"[0.0, 0.0, 0.0, 0.0, 0.0]"
256,0.3,0.001,4,4,0.0,0.0,2.7360329909424914,0.2289826661050116,0.9774438738822936,"[0.0, 0.0, 0.0, 0.0, 0.0]"
