hidden_dim,dropout,lr,nhead,num_layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.2,0.0005,4,2,0.3372771246833072,0.0196339531878076,1.8221416585589467,0.0598527308463166,0.4481720507144928,"[0.3126251673020839, 0.3232241455821661, 0.35519191383893256, 0.36477776149347324, 0.3305666351998803]"
128,0.2,0.0005,8,2,0.3295926111957634,0.0125616346087235,1.8479426821373284,0.0646859848981769,0.4469488143920898,"[0.31587274366742313, 0.32282725396336537, 0.34528600893217304, 0.34417878641778343, 0.31979826299807207]"
128,0.2,0.001,8,2,0.3280983711153434,0.0209194566364405,1.8516864694511903,0.0522496950877861,0.450427758693695,"[0.3053206399024672, 0.29992848639286473, 0.3426138130425061, 0.3471514705188045, 0.3454774457200747]"
128,0.3,0.0005,8,2,0.3266181473637922,0.0100936180994688,1.8377200474000293,0.0635845574012071,0.4604233264923095,"[0.31753480620090535, 0.31912734478518695, 0.34554238815643346, 0.3232184579589055, 0.32766773971753]"
256,0.3,0.0005,8,2,0.3258440212274962,0.0184074706769282,1.856245855252149,0.0691035437101359,0.4556734085083008,"[0.3093239082895214, 0.3076643315847279, 0.35512627464466223, 0.3390082812586082, 0.31809731035996136]"
256,0.2,0.001,8,2,0.3244476767116566,0.0140373335396488,1.868606348421916,0.0672761535230939,0.4525119781494141,"[0.310348286272257, 0.30999676031896123, 0.3381102686937483, 0.3437263011975013, 0.32005676707581526]"
256,0.2,0.0005,8,2,0.3240058813382114,0.0146713988198822,1.8498105854547109,0.0578400532582569,0.4572304487228393,"[0.30965090133957, 0.30450641892081454, 0.33313148282717947, 0.34347385168887046, 0.3292667519146227]"
128,0.3,0.0005,4,2,0.3239810575340774,0.0220483068656163,1.849944861942116,0.0673425358192993,0.4624496161937713,"[0.30509527850786206, 0.3047156550129121, 0.34545048227558267, 0.35580314215258274, 0.3088407297214478]"
256,0.3,0.001,8,2,0.3230278824126193,0.0182098422683264,1.8656756689726488,0.0678938549825352,0.4643316507339478,"[0.31621036224394605, 0.29082921852072435, 0.3325690082869183, 0.3427321322056702, 0.3327986908058378]"
256,0.2,0.0005,4,2,0.3230137821520513,0.0213812257606529,1.864740652270018,0.0567762600305672,0.45302694439888,"[0.30887273861062975, 0.28896686308435054, 0.34480270505013605, 0.343403936708553, 0.32902266730658697]"
256,0.3,0.0005,4,2,0.3204038752852566,0.0164476471625439,1.8642905857521268,0.0685515483682645,0.4591284513473511,"[0.3044833832680591, 0.30720189747321647, 0.3495028347656202, 0.32666548975772386, 0.3141657711616634]"
256,0.2,0.001,4,2,0.3195308900026373,0.0216774551338751,1.8834714107026804,0.034225875273962,0.465138691663742,"[0.29804592241135225, 0.2960384321636662, 0.3136068927045368, 0.34663836565574174, 0.34332483707788936]"
128,0.3,0.001,8,2,0.3193652873721705,0.0187659405701085,1.8665392656497928,0.0677256379250593,0.4650678932666778,"[0.30058006904839296, 0.31051223792912996, 0.34190130187048773, 0.34202428897886633, 0.3018085390339755]"
128,0.2,0.001,4,2,0.3153589609423683,0.0154627346626593,1.86749815964952,0.042684072279616,0.4679832458496094,"[0.2920304788097619, 0.3086903651282072, 0.31105537921985654, 0.3324638761381443, 0.33255470541587157]"
128,0.3,0.001,4,2,0.3102957602533448,0.0123081125247221,1.895332017647404,0.077552161597616,0.4783924043178558,"[0.30356870147589243, 0.3061087550937347, 0.32478268469454935, 0.32397558668716936, 0.2930430733153784]"
256,0.3,0.001,4,2,0.2884046917566693,0.0502816134327073,1.9322763372592613,0.0671655177845271,0.5106461703777313,"[0.2153731068027848, 0.24013724457815214, 0.3357835754173509, 0.32466063638773196, 0.32606889559732694]"
128,0.3,0.0005,8,4,0.2796090453796933,0.0245446142652263,1.9632485152743944,0.0619232813891485,0.5166399419307709,"[0.2348034549813752, 0.303588172470112, 0.29469945983627815, 0.2921072111205029, 0.27284692849019826]"
128,0.2,0.0005,4,4,0.2678174097713248,0.0275337237664438,1.987209319088563,0.1260316951391422,0.5352724194526672,"[0.307938461739404, 0.23248566039492832, 0.2708492893193845, 0.28503406010428384, 0.24277957729862343]"
128,0.3,0.0005,4,4,0.2589408210395688,0.0150973151475219,1.9955318636163093,0.0730089371200136,0.5504998207092285,"[0.251038141448582, 0.2709855167832371, 0.26142173553064496, 0.27689001235353494, 0.23436869908184502]"
128,0.2,0.0005,8,4,0.2243709090391656,0.1153527045653266,2.061768132236871,0.2663641479464854,0.5760851204395294,"[0.23956596757477397, 0.3005689729292694, 0.2652634469529019, 0.0, 0.31645615773888325]"
256,0.3,0.0005,4,4,0.2228402952554967,0.1196582599239291,2.0723868319850007,0.207878521202569,0.6113288283348084,"[0.0, 0.2254661314744577, 0.3406075444944216, 0.31154031436208285, 0.2365874859465217]"
256,0.3,0.0005,8,4,0.1722697437434608,0.1419139053482837,2.196617708548572,0.3354674440970676,0.6529910922050476,"[0.26524361774168, 0.2750603426129413, 0.0, 0.3210447583626827, 0.0]"
256,0.2,0.0005,8,4,0.1555445674693065,0.1348538745604649,2.2322845899662083,0.3050467650028593,0.6780851900577545,"[0.21530424290902195, 0.22044275598611432, 0.0, 0.3419758384513966, 0.0]"
