hidden_dim,dropout,lr,nhead,num_layers,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_val_loss_mean,fold_r2_scores
128,0.2,0.0005,4,2,0.3830793588717979,0.0120040609922193,1.7569055073797653,0.0618648964062133,0.3786938786506653,"[0.38787203750492294, 0.3598282785549672, 0.3842217759373831, 0.3934223020325529, 0.39005240032916316]"
128,0.2,0.0005,8,4,0.3805552363328369,0.0214784587487732,1.7505010763986402,0.0319891408457153,0.3861648321151733,"[0.3461955319938606, 0.36686562894813374, 0.38955032634466386, 0.40697794569159296, 0.39318674868593334]"
128,0.2,0.0005,8,2,0.3783429743512413,0.0169607497175612,1.747577749000373,0.0625576571080524,0.3844239950180054,"[0.3668142777096029, 0.35399623441244915, 0.38018229639161905, 0.3872972573515276, 0.40342480589100793]"
128,0.2,0.0005,4,4,0.377797290120865,0.0148826120507538,1.755953171473268,0.0574525317096121,0.3855038106441498,"[0.37771495873613326, 0.3523749761276899, 0.37353652211535965, 0.3925910611552745, 0.3927689324698675]"
128,0.3,0.0005,4,4,0.3749960213536926,0.0201386668346063,1.773830077345377,0.0511281132728151,0.3864967346191406,"[0.36110586560766783, 0.3434994300706238, 0.3816623847149354, 0.3992950067709719, 0.3894174196042642]"
128,0.3,0.0005,8,4,0.371817406273691,0.015158207331481,1.768085543389572,0.0607162461314986,0.395576548576355,"[0.36037087491419123, 0.3502981360511619, 0.3748712531259937, 0.39377572888756435, 0.3797710383895441]"
128,0.3,0.0005,8,2,0.3686160525521026,0.013027693506304,1.7678762024933177,0.0658220023999486,0.4005375146865845,"[0.3677045110315227, 0.34374354220275194, 0.37811889529661674, 0.37852984716792787, 0.3749834670616938]"
128,0.3,0.0005,4,2,0.3664293751359599,0.0129457937520928,1.7699872444923297,0.0593911283825269,0.3995957136154174,"[0.35902905391008416, 0.34517478267344376, 0.38175790413051436, 0.3711322921547853, 0.3750528428109723]"
128,0.2,0.001,8,2,0.350301733847992,0.0181782435229373,1.8088549599436583,0.0771892309794561,0.4262673795223236,"[0.36853717287859317, 0.31609807739940804, 0.35948221797499663, 0.3583055563709072, 0.3490856446160549]"
256,0.2,0.0005,4,2,0.3476464053161816,0.00851818518257,1.8232153230837809,0.0739447069696353,0.417550528049469,"[0.349278131155581, 0.3437495151583483, 0.34357911574855776, 0.3632294813234693, 0.3383957831949516]"
128,0.2,0.001,4,2,0.3469478404861785,0.0104630838231559,1.8389728461586148,0.0738412154036987,0.4083482384681701,"[0.3422314921614309, 0.3360311544994015, 0.3453562508767216, 0.3668536383766898, 0.34426666651664894]"
256,0.2,0.0005,8,2,0.345063880368405,0.007844424773425,1.806672362350056,0.0664455606854027,0.4165699183940887,"[0.3439629617563298, 0.33595396538444505, 0.3494996414577825, 0.3576240770534253, 0.33827875619004244]"
256,0.3,0.0005,4,2,0.3383397317501025,0.0213727785379731,1.83442431628175,0.0836887948998466,0.4244582772254944,"[0.32469747186304204, 0.3040185318461585, 0.34676139426506886, 0.35231317279586594, 0.36390808798037727]"
256,0.3,0.0005,8,2,0.3355351805369296,0.01186321445793,1.83378703429455,0.0692668246996554,0.4282611906528473,"[0.31494072821814, 0.33369668161654326, 0.3374350742409183, 0.35135845834622587, 0.34024496026282075]"
128,0.3,0.001,8,2,0.3276602744092537,0.0135790664349298,1.8577133832409625,0.0927028030540704,0.4412306845188141,"[0.3331948032078202, 0.30163726057550405, 0.3378420006123286, 0.33816831445514683, 0.3274589931954692]"
