site,IGBP,Koppen,R2,RMSE,MAPE,pred_std,target,model,split_type,n_seeds
AMF_US-Mo2,GRA,D,0.7419134974479675,1.9609508514404297,0.5178827,0.4767457913566142,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Wi9,ENF,D,0.2080358862876892,2.0155818462371826,0.42757538,0.4373611499732004,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
JPX_JP-Sb1,WET,D,0.0,1.9296410083770752,0.2882164,0.9890070502565275,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Dmg,WET,C,0.4916125535964966,2.994006633758545,0.368472,0.6154225208507556,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-RGF,CRO,B,0.31529438495635986,6.659669876098633,0.5837021,1.3603030616292768,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xDC,GRA,D,0.8847785592079163,0.7362048029899597,0.30763385,0.2948288926341437,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_CA-Qfo,ENF,D,0.847724199295044,0.7909287810325623,0.3278892,0.3144773022979678,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_CN-Dan,GRA,D,0.0,1.4193487167358398,0.9951732,0.6726011542149557,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xJR,OSH,B,0.0,1.0866272449493408,1.5470424,0.22827108278625463,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_DK-Fou,CRO,C,0.20601069927215576,3.0378072261810303,0.61556363,0.6192520692209508,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Cop,GRA,B,0.3083578944206238,0.30854931473731995,0.8094836,0.14903213277936297,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xBN,ENF,D,0.8434724807739258,0.6780211329460144,0.41198492,0.1945806669249451,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-CS1,CRO,D,0.872305154800415,1.361409306526184,0.39602068,0.3182326272308596,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_CA-TP3,ENF,D,0.8096136450767517,1.6448841094970703,0.29546806,0.4073687681920933,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_IT-Cp2,EBF,C,0.6457899808883667,1.2725086212158203,0.17319192,0.41409387379511237,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-MOz,DBF,D,0.7806401252746582,1.8324990272521973,0.35021925,0.5014099470132914,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_AR-SLu,MF,B,0.0,5.089996814727783,0.6094665,0.9554337132593341,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-CS5,CRO,D,0.7201112508773804,1.7030011415481567,0.5201099,0.4148898112338657,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_FI-Var,ENF,D,0.850899875164032,0.7536819577217102,0.38133943,0.2721834267494816,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xUN,MF,D,0.9262838363647461,0.9454076290130615,0.2880226,0.25679916647305134,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_IT-Ro1,DBF,C,0.7844901084899902,1.6343952417373657,0.28879896,0.48171028801352317,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Rls,CSH,B,0.7633691430091858,0.6232511401176453,0.35534668,0.2874329917420464,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Wi6,OSH,D,0.6612180471420288,1.6992721557617188,0.30107486,0.5405932366125114,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_AU-Cum,EBF,C,0.0,5.146057605743408,1.4971493,1.4629406461523413,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_BE-Lon,CRO,C,0.5613616108894348,3.079803228378296,0.61830014,0.4428132250615748,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-NR1,ENF,D,0.9092563390731812,0.7369022965431213,0.28459674,0.3638053187647296,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
JPX_JP-Toc,DBF,D,0.6724023818969727,3.6411266326904297,0.57880425,0.4435054760165123,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_BE-Maa,CSH,C,0.49352842569351196,1.5605649948120117,0.46768886,0.5866070196278448,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-PFm,DBF,D,0.43159812688827515,3.434648036956787,0.3094102,0.5562408129807478,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_SE-Htm,ENF,D,0.6472131013870239,2.8611655235290527,0.37748453,0.8211267755274798,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_AU-Whr,EBF,B,0.0,1.8289164304733276,0.4976299,1.2222566405849185,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-Wi1,DBF,D,0.25970643758773804,5.405980587005615,0.3759247,0.6058792380293363,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_CN-HaM,GRA,E,0.6532161235809326,1.2950029373168945,0.60767514,0.8146388570549511,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-Wi6,OSH,D,0.8300881385803223,1.066443920135498,0.3035202,0.4955254887586463,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xKA,GRA,D,0.26056915521621704,2.8153889179229736,0.72707605,0.4486102851592401,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_DE-Hai,DBF,D,0.9349249601364136,1.102262258529663,0.232734,0.40542002419243695,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_AU-GWW,SAV,B,0.24278336763381958,0.4420754909515381,0.2734397,0.6661903382289803,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_SJ-Adv,WET,E,0.2170271873474121,1.3546913862228394,0.72003955,0.1751464952261372,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-RGA,CRO,C,0.5567598938941956,4.632115840911865,0.4632363,0.9676275565237875,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xDS,CVM,C,0.5999822616577148,0.9879744052886963,0.20073232,0.9132086946109846,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_SD-Dem,SAV,B,0.1124417781829834,2.0589354038238525,0.5609823,0.6303146827294995,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_IT-Lsn,OSH,C,0.8170148134231567,1.2756208181381226,0.2409945,0.6791427902751443,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_MX-Tes,DBF,B,0.0,3.885639190673828,2.422754,0.6565153619725782,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Srr,WET,C,0.0,4.0324883460998535,0.45501438,0.9010818243200851,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_CA-Gro,MF,D,0.8873370289802551,1.0491909980773926,0.2723805,0.27063205751453756,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_CA-MA2,CRO,D,0.3019065856933594,2.7444875240325928,0.95968205,0.7408412168458424,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-UMd,DBF,D,0.8945465683937073,1.3066608905792236,0.26089835,0.309001893733761,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-BZB,WET,D,0.8852323293685913,0.615077018737793,0.2904778,0.21140887619778834,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-SRM,WSA,B,0.6222640872001648,0.5972951054573059,0.75348765,0.13003497917254803,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-xRM,ENF,D,0.7811592817306519,0.7264925837516785,0.53232,0.4221874730842682,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_GF-Guy,EBF,A,0.0,2.8006091117858887,0.23247936,0.7263986134584591,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-SRC,OSH,B,0.524408757686615,0.3336421847343445,0.56191146,0.11412094364616203,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-KS1,ENF,C,0.38800638914108276,1.198568344116211,0.16906469,0.5904448973700576,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-Tw3,CRO,C,0.12463665008544922,4.215246200561523,0.3000038,0.9935761389822637,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_FI-Hyy,ENF,D,0.8980093002319336,0.9260289072990417,0.29246485,0.2857766905260882,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
ICOSETC_FI-Let,ENF,D,0.8421223163604736,1.2712898254394531,0.3911162,0.48805558333958243,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_CZ-BK2,GRA,D,0.6598125696182251,1.9706425666809082,0.43703997,0.5622712088194299,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-Ha1,DBF,D,0.8723481297492981,1.7506741285324097,0.29817328,0.3749361640569593,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
AMF_US-Pnp,WAT,D,0.0,1.602320671081543,0.8808011,0.280737614994582,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
FLX_US-CRT,CRO,D,0.3373132348060608,4.267078876495361,1.0374683,0.6938129365453812,GPP_NT_VUT_USTAR50,tam-rl,IGBP,10
