site,IGBP,Koppen,R2,RMSE,MAPE,pred_std,target,model,split_type,n_seeds
AMF_US-Var,GRA,C,0.6985722780227661,1.5528541803359985,0.540417,0.3919790234037563,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-CF1,CRO,D,0.8569748401641846,1.4218658208847046,0.45888716,0.42810528334552184,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Amo,OSH,B,0.0,1.6853606700897217,15.03012,0.3587203519678282,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Tou,GRA,C,0.5557920932769775,1.8270275592803955,0.39346376,0.6388446372970503,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-TrF,DNF,D,0.5772442817687988,1.9349616765975952,0.4756711,0.447420518377603,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_JP-SMF,MF,C,0.1594604253768921,2.193952798843384,0.53670454,0.47300070641433006,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Ivo,WET,D,0.8128102421760559,0.6589058637619019,0.4846457,0.35087070854114855,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DK-RCW,DBF,C,0.9051501750946045,1.5231539011001587,0.23766348,0.39077921965186063,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-EML,OSH,D,0.737375020980835,0.9098056554794312,0.43750018,0.4174744496229002,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Ca1,ENF,C,0.05883890390396118,4.211143493652344,0.6299318,0.40897918422147034,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Dry,SAV,A,0.7507296800613403,0.851595401763916,0.21160775,0.47570726422560655,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro5,CRO,D,0.7817423343658447,2.753307819366455,0.47199318,0.4590310478932518,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Man,ENF,D,0.8495579957962036,0.8218655586242676,0.26765636,0.28776765558395323,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Spw,WET,C,0.750424861907959,2.253316879272461,0.34604463,0.444964162630968,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw1,WET,C,0.5985332727432251,2.3753647804260254,0.19085506,0.8443224900449782,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBL,DBF,C,0.8710205554962158,0.9511212706565857,0.24395473,0.5242739635724966,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-ZaF,WET,E,0.6775856614112854,0.7061911821365356,0.64064074,0.2690440553559067,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Qfo,ENF,D,0.862097978591919,0.7535614967346191,0.29621193,0.32149152958870475,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-BBY,WET,D,0.0,2.60513973236084,0.47649235,0.8876714086905482,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Noe,CSH,C,0.18505877256393433,1.5652109384536743,0.41252896,0.4179147598481648,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-NS1,ENF,D,0.786503791809082,1.1016154289245605,0.3920703,0.26994584786406667,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Me1,ENF,C,0.5750727653503418,0.565460741519928,0.40628856,0.39204394240144963,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR2,GRA,C,0.24052125215530396,1.5307390689849854,0.99549997,0.48466512660565225,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw4,WET,C,0.0,2.9329824447631836,0.88492864,0.8632776937375162,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Syv,MF,D,0.8495845794677734,1.6054273843765259,0.29094225,0.298952923417865,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi9,ENF,D,0.3088744878768921,1.8438173532485962,0.38206676,0.5828756243761823,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-DaP,GRA,A,0.8273671269416809,1.7257466316223145,0.38811052,0.5984007014309735,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ARc,GRA,C,0.8917054533958435,1.2361574172973633,0.2717235,0.6224486793412302,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xYE,ENF,D,0.8671362400054932,0.7776760458946228,0.40675324,0.3302408589127531,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
